V4_0,Time_codelist,Time,Geography_codelist,Geography,DATAMARKING_codelist,DATAMARKING,Indicators_codelist,Indicators,Measure_codelist,Measure
10.95,,2011/12,E06000009,,,,,0-4,,Life
17.65,,2011/12,E06000009,,,,, 5-6 ,,Life
47.62,,2011/12,E06000009,,,,,7-8  ,,Life
23.78,,2011/12,E06000009,,,,,9-10 ,,Life
7.42,,2012/13*,E06000009,,,,,0-4,,Life
19.13,,2012/13*,E06000009,,,,, 5-6 ,,Life
47.64,,2012/13*,E06000009,,,,,7-8  ,,Life
25.81,,2012/13*,E06000009,,,,,9-10 ,,Life
7.45,,2013/14*,E06000009,,,,,0-4,,Life
18.59,,2013/14*,E06000009,,,,, 5-6 ,,Life
46.38,,2013/14*,E06000009,,,,,7-8  ,,Life
27.58,,2013/14*,E06000009,,,,,9-10 ,,Life
6.59,,2014/15*,E06000009,,,,,0-4,,Life
20.27,,2014/15*,E06000009,,,,, 5-6 ,,Life
48.64,,2014/15*,E06000009,,,,,7-8  ,,Life
24.5,,2014/15*,E06000009,,,,,9-10 ,,Life
7.33,,2015/16*,E06000009,,,,,0-4,,Life
18.61,,2015/16*,E06000009,,,,, 5-6 ,,Life
44.57,,2015/16*,E06000009,,,,,7-8  ,,Life
29.49,,2015/16*,E06000009,,,,,9-10 ,,Life
7.02,,2016/17*,E06000009,,,,,0-4,,Life
16.92,,2016/17*,E06000009,,,,, 5-6 ,,Life
47.28,,2016/17*,E06000009,,,,,7-8  ,,Life
28.77,,2016/17*,E06000009,,,,,9-10 ,,Life
,,2011/12,E06000049,,,x,,0-4,,Life
14.91,,2011/12,E06000049,,,,, 5-6 ,,Life
52.14,,2011/12,E06000049,,,,,7-8  ,,Life
29.12,,2011/12,E06000049,,,,,9-10 ,,Life
,,2012/13*,E06000049,,,x,,0-4,,Life
13.75,,2012/13*,E06000049,,,,, 5-6 ,,Life
57.16,,2012/13*,E06000049,,,,,7-8  ,,Life
24.73,,2012/13*,E06000049,,,,,9-10 ,,Life
,,2013/14*,E06000049,,,x,,0-4,,Life
16.85,,2013/14*,E06000049,,,,, 5-6 ,,Life
52.64,,2013/14*,E06000049,,,,,7-8  ,,Life
25.71,,2013/14*,E06000049,,,,,9-10 ,,Life
,,2014/15*,E06000049,,,x,,0-4,,Life
11.23,,2014/15*,E06000049,,,,, 5-6 ,,Life
59.48,,2014/15*,E06000049,,,,,7-8  ,,Life
27.27,,2014/15*,E06000049,,,,,9-10 ,,Life
,,2015/16*,E06000049,,,x,,0-4,,Life
11.76,,2015/16*,E06000049,,,,, 5-6 ,,Life
55.89,,2015/16*,E06000049,,,,,7-8  ,,Life
29.48,,2015/16*,E06000049,,,,,9-10 ,,Life
,,2016/17*,E06000049,,,x,,0-4,,Life
14.16,,2016/17*,E06000049,,,,, 5-6 ,,Life
53.89,,2016/17*,E06000049,,,,,7-8  ,,Life
26.4,,2016/17*,E06000049,,,,,9-10 ,,Life
,,2011/12,E06000050,,,x,,0-4,,Life
17.54,,2011/12,E06000050,,,,, 5-6 ,,Life
48.6,,2011/12,E06000050,,,,,7-8  ,,Life
28.24,,2011/12,E06000050,,,,,9-10 ,,Life
,,2012/13*,E06000050,,,x,,0-4,,Life
12.95,,2012/13*,E06000050,,,,, 5-6 ,,Life
56.27,,2012/13*,E06000050,,,,,7-8  ,,Life
24.38,,2012/13*,E06000050,,,,,9-10 ,,Life
